Date,Open,High,Low,Close,Adj Close,Volume,Ticker,RSI,EMA_9,EMA_21,EMA_50,EMA_100,SMA_7,SMA_21,SMA_50,SMA_100,MACD,BB_Lower,BB_Middle,BB_Upper,Inflation Rate (%),Unemployment Rate (%),Interest Rate (%),Next_Day_Close,Target,2%Target
2000-01-03,4.074999809265137,4.478125095367432,3.9523439407348633,4.46875,4.46875,322352000,AMZN,,,,,,,,,,,,,,,,,4.096875190734863,0,negative
2000-01-04,4.268750190734863,4.574999809265137,4.087500095367432,4.096875190734863,4.096875190734863,349748000,AMZN,,,,,,,,,,,,,,,,,3.487499952316284,0,negative
2000-01-05,3.5250000953674316,3.7562499046325684,3.4000000953674316,3.487499952316284,3.487499952316284,769148000,AMZN,,,,,,,,,,,,,,,,,3.278125047683716,0,negative
2000-01-06,3.565624952316284,3.6343750953674316,3.200000047683716,3.278125047683716,3.278125047683716,375040000,AMZN,,,,,,,,,,,,,,,,,3.4781250953674316,1,positive
2000-01-07,3.3499999046325684,3.5250000953674316,3.309375047683716,3.4781250953674316,3.4781250953674316,210108000,AMZN,,,,,,,,,,,,,,,,,3.4593749046325684,0,neutral
2000-01-10,3.628124952316284,3.6312499046325684,3.278125047683716,3.4593749046325684,3.4593749046325684,295158000,AMZN,,,,,,,,,,,,,,,,,3.3375000953674316,0,negative
2000-01-11,3.34375,3.5,3.25,3.3375000953674316,3.3375000953674316,210654000,AMZN,,,,,,3.6580357551574707,,,,,,,,,,,3.1781249046325684,0,negative
2000-01-12,3.393749952316284,3.4000000953674316,3.1500000953674316,3.1781249046325684,3.1781249046325684,216090000,AMZN,,,,,,3.473660741533552,,,,,,,,,,,3.296875,1,positive
2000-01-13,3.246875047683716,3.359375,3.15625,3.296875,3.296875,208962000,AMZN,,3.564583354526096,,,,3.359375,,,,,,,,,,,3.2125000953674316,0,negative
2000-01-14,3.3375000953674316,3.4312500953674316,3.200000047683716,3.2125000953674316,3.2125000953674316,137072000,AMZN,,3.4941667026943635,,,,3.3200893061501637,,,,,,,,,,,3.206249952316284,0,neutral
2000-01-18,3.171875,3.2593750953674316,3.1500000953674316,3.206249952316284,3.206249952316284,107698000,AMZN,,3.4365833526187477,,,,3.309821435383388,,,,,,,,,,,3.340625047683716,1,positive
2000-01-19,3.206249952316284,3.375,3.1500000953674316,3.340625047683716,3.340625047683716,164910000,AMZN,,3.4173916916317415,,,,3.2901785714285716,,,,,,,,,,,3.237499952316284,0,negative
2000-01-20,3.346874952316284,3.3499999046325684,3.1968750953674316,3.237499952316284,3.237499952316284,119560000,AMZN,,3.38141334376865,,,,3.2584821496691023,,,,,,,,,,,3.1031250953674316,0,negative
2000-01-21,3.231250047683716,3.231250047683716,3.0,3.1031250953674316,3.1031250953674316,229238000,AMZN,,3.3257556940884068,,,,3.2250000068119595,,,,,,,,,,,3.5062499046325684,1,positive
2000-01-24,3.378124952316284,3.668750047683716,3.375,3.5062499046325684,3.5062499046325684,583404000,AMZN,42.223370499232146,3.361854536197239,,,,3.2718750068119595,,,,,,,,,,,3.4625000953674316,0,neutral
2000-01-25,3.5,3.5625,3.299999952316284,3.4625000953674316,3.4625000953674316,188682000,AMZN,41.026911446599286,3.381983648031278,,,,3.2955357347215926,,,,,,,,,,,3.2406249046325684,0,negative
2000-01-26,3.4312500953674316,3.5,3.237499952316284,3.2406249046325684,3.2406249046325684,131160000,AMZN,35.5284798031779,3.353711899351536,,,,3.299553564616612,,,,,,,,,,,3.346874952316284,1,positive
2000-01-27,3.2593750953674316,3.387500047683716,3.231250047683716,3.346874952316284,3.346874952316284,135680000,AMZN,39.69639034107489,3.352344509944486,,,,3.3196428503308977,,,,,,,,,,,3.0843749046325684,0,negative
2000-01-28,3.25,3.3218750953674316,3.0,3.0843749046325684,3.0843749046325684,275558000,AMZN,33.87056047791184,3.298750588882103,,,,3.2830356870378767,,,,,,,,,,,3.2281250953674316,1,positive
2000-01-31,3.018749952316284,3.237499952316284,2.921875,3.2281250953674316,3.2281250953674316,213958000,AMZN,39.13819164362749,3.284625490179169,,,,3.2816964217594693,,,,,2.7564373741284514,3.4025000095367433,4.048562644945035,,,,3.371875047683716,1,positive
2000-02-01,3.375,3.53125,3.21875,3.371875047683716,3.371875047683716,268092000,AMZN,43.94665197401962,3.302075401680079,3.4010416780199324,,,3.320089272090367,3.4010416780199324,,,,2.925548039440438,3.347656261920929,3.76976448440142,0.41346721795627595,4.1,5.73,3.471874952316284,1,positive
2000-02-02,3.3968749046325684,3.612499952316284,3.387500047683716,3.471874952316284,3.471874952316284,280518000,AMZN,47.07897125063522,3.3360353118073203,3.407481066592328,,,3.315178564616612,3.353571437654041,,,,3.0612800959987014,3.31640625,3.5715324040012986,,,,4.209374904632568,1,positive
2000-02-03,4.056250095367432,4.296875,3.8687500953674316,4.209374904632568,4.209374904632568,875000000,AMZN,63.34664081518096,3.51070323037237,3.4803805064141677,,,3.421874965940203,3.3589285668872653,,,,2.8904368930245914,3.3524999976158143,3.814563102207037,,,,3.9281249046325684,0,negative
