,Date,Inflation,Unemployment Rate (%),Interest Rate (%)
107,2000-04-17,-0.05847953216373547,3.8,6.02
108,2000-04-18,-0.05847953216373547,3.8,6.02
109,2000-04-19,-0.05847953216373547,3.8,6.02
110,2000-04-20,-0.05847953216373547,3.8,6.02
111,2000-04-21,-0.05847953216373547,3.8,6.02
112,2000-04-22,-0.05847953216373547,3.8,6.02
113,2000-04-23,-0.05847953216373547,3.8,6.02
114,2000-04-24,-0.05847953216373547,3.8,6.02
115,2000-04-25,-0.05847953216373547,3.8,6.02
116,2000-04-26,-0.05847953216373547,3.8,6.02
117,2000-04-27,-0.05847953216373547,3.8,6.02
118,2000-04-28,-0.05847953216373547,3.8,6.02
119,2000-04-29,-0.05847953216373547,3.8,6.02
120,2000-04-30,-0.05847953216373547,3.8,6.02
121,2000-05-01,0.17554125219425565,4.0,6.27
122,2000-05-02,0.17554125219425565,4.0,6.27
123,2000-05-03,0.17554125219425565,4.0,6.27
124,2000-05-04,0.17554125219425565,4.0,6.27
125,2000-05-05,0.17554125219425565,4.0,6.27
126,2000-05-06,0.17554125219425565,4.0,6.27
127,2000-05-07,0.17554125219425565,4.0,6.27
128,2000-05-08,0.17554125219425565,4.0,6.27
129,2000-05-09,0.17554125219425565,4.0,6.27
130,2000-05-10,0.17554125219425565,4.0,6.27
131,2000-05-11,0.17554125219425565,4.0,6.27
132,2000-05-12,0.17554125219425565,4.0,6.27
133,2000-05-13,0.17554125219425565,4.0,6.27
134,2000-05-14,0.17554125219425565,4.0,6.27
135,2000-05-15,0.17554125219425565,4.0,6.27
136,2000-05-16,0.17554125219425565,4.0,6.27
137,2000-05-17,0.17554125219425565,4.0,6.27
138,2000-05-18,0.17554125219425565,4.0,6.27
139,2000-05-19,0.17554125219425565,4.0,6.27
140,2000-05-20,0.17554125219425565,4.0,6.27
141,2000-05-21,0.17554125219425565,4.0,6.27
142,2000-05-22,0.17554125219425565,4.0,6.27
143,2000-05-23,0.17554125219425565,4.0,6.27
144,2000-05-24,0.17554125219425565,4.0,6.27
145,2000-05-25,0.17554125219425565,4.0,6.27
146,2000-05-26,0.17554125219425565,4.0,6.27
147,2000-05-27,0.17554125219425565,4.0,6.27
148,2000-05-28,0.17554125219425565,4.0,6.27
149,2000-05-29,0.17554125219425565,4.0,6.27
150,2000-05-30,0.17554125219425565,4.0,6.27
151,2000-05-31,0.17554125219425565,4.0,6.27
152,2000-06-01,0.5841121495327117,4.0,6.53
153,2000-06-02,0.5841121495327117,4.0,6.53
154,2000-06-03,0.5841121495327117,4.0,6.53
155,2000-06-04,0.5841121495327117,4.0,6.53
156,2000-06-05,0.5841121495327117,4.0,6.53
157,2000-06-06,0.5841121495327117,4.0,6.53
158,2000-06-07,0.5841121495327117,4.0,6.53
159,2000-06-08,0.5841121495327117,4.0,6.53
160,2000-06-09,0.5841121495327117,4.0,6.53
161,2000-06-10,0.5841121495327117,4.0,6.53
162,2000-06-11,0.5841121495327117,4.0,6.53
163,2000-06-12,0.5841121495327117,4.0,6.53
164,2000-06-13,0.5841121495327117,4.0,6.53
165,2000-06-14,0.5841121495327117,4.0,6.53
166,2000-06-15,0.5841121495327117,4.0,6.53
167,2000-06-16,0.5841121495327117,4.0,6.53
168,2000-06-17,0.5841121495327117,4.0,6.53
169,2000-06-18,0.5841121495327117,4.0,6.53
170,2000-06-19,0.5841121495327117,4.0,6.53
171,2000-06-20,0.5841121495327117,4.0,6.53
172,2000-06-21,0.5841121495327117,4.0,6.53
173,2000-06-22,0.5841121495327117,4.0,6.53
174,2000-06-23,0.5841121495327117,4.0,6.53
175,2000-06-24,0.5841121495327117,4.0,6.53
176,2000-06-25,0.5841121495327117,4.0,6.53
177,2000-06-26,0.5841121495327117,4.0,6.53
178,2000-06-27,0.5841121495327117,4.0,6.53
179,2000-06-28,0.5841121495327117,4.0,6.53
180,2000-06-29,0.5841121495327117,4.0,6.53
181,2000-06-30,0.5841121495327117,4.0,6.53
182,2000-07-01,0.29036004645761615,4.0,6.54
183,2000-07-02,0.29036004645761615,4.0,6.54
184,2000-07-03,0.29036004645761615,4.0,6.54
185,2000-07-04,0.29036004645761615,4.0,6.54
186,2000-07-05,0.29036004645761615,4.0,6.54
187,2000-07-06,0.29036004645761615,4.0,6.54
188,2000-07-07,0.29036004645761615,4.0,6.54
189,2000-07-08,0.29036004645761615,4.0,6.54
190,2000-07-09,0.29036004645761615,4.0,6.54
191,2000-07-10,0.29036004645761615,4.0,6.54
192,2000-07-11,0.29036004645761615,4.0,6.54
193,2000-07-12,0.29036004645761615,4.0,6.54
194,2000-07-13,0.29036004645761615,4.0,6.54
195,2000-07-14,0.29036004645761615,4.0,6.54
196,2000-07-15,0.29036004645761615,4.0,6.54
197,2000-07-16,0.29036004645761615,4.0,6.54
198,2000-07-17,0.29036004645761615,4.0,6.54
199,2000-07-18,0.29036004645761615,4.0,6.54
200,2000-07-19,0.29036004645761615,4.0,6.54
201,2000-07-20,0.29036004645761615,4.0,6.54
202,2000-07-21,0.29036004645761615,4.0,6.54
203,2000-07-22,0.29036004645761615,4.0,6.54
204,2000-07-23,0.29036004645761615,4.0,6.54
205,2000-07-24,0.29036004645761615,4.0,6.54
206,2000-07-25,0.29036004645761615,4.0,6.54
207,2000-07-26,0.29036004645761615,4.0,6.54
208,2000-07-27,0.29036004645761615,4.0,6.54
209,2000-07-28,0.29036004645761615,4.0,6.54
210,2000-07-29,0.29036004645761615,4.0,6.54
211,2000-07-30,0.29036004645761615,4.0,6.54
212,2000-07-31,0.29036004645761615,4.0,6.54
213,2000-08-01,0.0,4.1,6.5
214,2000-08-02,0.0,4.1,6.5
215,2000-08-03,0.0,4.1,6.5
216,2000-08-04,0.0,4.1,6.5
217,2000-08-05,0.0,4.1,6.5
218,2000-08-06,0.0,4.1,6.5
219,2000-08-07,0.0,4.1,6.5
220,2000-08-08,0.0,4.1,6.5
221,2000-08-09,0.0,4.1,6.5
222,2000-08-10,0.0,4.1,6.5
223,2000-08-11,0.0,4.1,6.5
224,2000-08-12,0.0,4.1,6.5
225,2000-08-13,0.0,4.1,6.5
226,2000-08-14,0.0,4.1,6.5
227,2000-08-15,0.0,4.1,6.5
228,2000-08-16,0.0,4.1,6.5
229,2000-08-17,0.0,4.1,6.5
230,2000-08-18,0.0,4.1,6.5
231,2000-08-19,0.0,4.1,6.5
232,2000-08-20,0.0,4.1,6.5
233,2000-08-21,0.0,4.1,6.5
234,2000-08-22,0.0,4.1,6.5
235,2000-08-23,0.0,4.1,6.5
236,2000-08-24,0.0,4.1,6.5
237,2000-08-25,0.0,4.1,6.5
238,2000-08-26,0.0,4.1,6.5
239,2000-08-27,0.0,4.1,6.5
240,2000-08-28,0.0,4.1,6.5
241,2000-08-29,0.0,4.1,6.5
242,2000-08-30,0.0,4.1,6.5
243,2000-08-31,0.0,4.1,6.5
244,2000-09-01,0.5211349160393786,3.9,6.52
245,2000-09-02,0.5211349160393786,3.9,6.52
246,2000-09-03,0.5211349160393786,3.9,6.52
247,2000-09-04,0.5211349160393786,3.9,6.52
248,2000-09-05,0.5211349160393786,3.9,6.52
249,2000-09-06,0.5211349160393786,3.9,6.52
250,2000-09-07,0.5211349160393786,3.9,6.52
251,2000-09-08,0.5211349160393786,3.9,6.52
252,2000-09-09,0.5211349160393786,3.9,6.52
253,2000-09-10,0.5211349160393786,3.9,6.52
254,2000-09-11,0.5211349160393786,3.9,6.52
255,2000-09-12,0.5211349160393786,3.9,6.52
256,2000-09-13,0.5211349160393786,3.9,6.52
257,2000-09-14,0.5211349160393786,3.9,6.52
258,2000-09-15,0.5211349160393786,3.9,6.52
259,2000-09-16,0.5211349160393786,3.9,6.52
260,2000-09-17,0.5211349160393786,3.9,6.52
261,2000-09-18,0.5211349160393786,3.9,6.52
262,2000-09-19,0.5211349160393786,3.9,6.52
263,2000-09-20,0.5211349160393786,3.9,6.52
264,2000-09-21,0.5211349160393786,3.9,6.52
265,2000-09-22,0.5211349160393786,3.9,6.52
266,2000-09-23,0.5211349160393786,3.9,6.52
267,2000-09-24,0.5211349160393786,3.9,6.52
268,2000-09-25,0.5211349160393786,3.9,6.52
269,2000-09-26,0.5211349160393786,3.9,6.52
270,2000-09-27,0.5211349160393786,3.9,6.52
271,2000-09-28,0.5211349160393786,3.9,6.52
